Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
"Weekend Ending February 1, 2026"
China,Jan 30-Feb 1,10,Zootopia 2,Walt Disney Studios Motion Pictures,"$4,186,319"
Germany,Jan 29-Feb 1,35,The Housemaid,Leonine Studios,"$3,045,105"
Russia/CIS,Jan 29-Feb 1,104,The Housemaid,Kinotime,"$2,660,899"
Italy,Jan 29-Feb 1,24,The Things Left Unspoken,01 Distribution,"$2,581,918"
Middle East,Jan 29-Feb 1,1,Shelter,Black Bear,"$2,300,000"
Japan,Jan 31-Feb 1,15,Zootopia 2,Walt Disney Pictures,"$2,286,524"
United Kingdom,Jan 30-Feb 1,63,Hamnet,Universal Pictures International (UPI),"$1,933,654"
Spain,Jan 30-Feb 1,55,Aida: The Movie,Sony Pictures Releasing,"$1,846,925"
South Korea,Jan 30-Feb 1,46,Once We Were Us,-,"$1,225,443"
Australia,Jan 29-Feb 1,148,Iron Lung,Markiplier,"$1,167,250"
Croatia,Jan 29-Feb 1,27,Svadba,-,"$1,153,676"
Mexico,Jan 30-Feb 1,16,Send Help,Walt Disney Pictures,"$1,095,646"
Saudi Arabia,Jan 29-Feb 1,3,Shelter,Black Bear,"$928,000"
Hong Kong,Jan 29-Feb 1,20,Back to the Past,-,"$791,524"
Brazil,Jan 29-Feb 1,14,Zootopia 2,Walt Disney Pictures,"$724,831"
United Arab Emirates,Jan 29-Feb 1,43,Shelter,Black Bear,"$689,817"
Netherlands,Jan 29-Feb 1,15,Avatar: Fire and Ash,Walt Disney Pictures,"$629,125"
Colombia,Jan 29-Feb 1,59,The Housemaid,Century Creator Co. Ltd.,"$446,530"
Poland,Jan 30-Feb 1,20,Avatar: Fire and Ash,Walt Disney Pictures,"$430,324"
Czech Republic,Jan 29-Feb 1,23,Zootopia 2,Falcon,"$426,508"
TÃ¼rkiye,Jan 30-Feb 1,44,Mutluyuz Mu?,CGV Mars Dagitim,"$397,545"
Vietnam,Jan 30-Feb 1,22,Nobody 2,Universal Pictures International (UPI),"$384,916"
Austria,Jan 29-Feb 1,14,Avatar: Fire and Ash,Walt Disney Pictures,"$357,298"
Portugal,Jan 29-Feb 1,43,The Housemaid,Pris Audiovisuais,"$342,011"
Norway,Jan 30-Feb 1,26,The Housemaid,Nordisk Film,"$311,084"
Argentina,Jan 29-Feb 1,13,Avatar: Fire and Ash,Walt Disney Pictures,"$295,236"
Chile,Jan 29-Feb 1,15,Avatar: Fire and Ash,Walt Disney Pictures,"$288,731"
Sweden,Jan 30-Feb 1,17,Avatar: Fire and Ash,Walt Disney Pictures,"$286,135"
Hungary,Jan 29-Feb 1,54,Hungarian Wedding,Forum Film,"$246,929"
Denmark,Jan 29-Feb 1,14,Iron Lung,Markiplier,"$241,000"
Greece,Jan 29-Feb 1,6,Hamnet,Universal Pictures International (UPI),"$230,391"
Taiwan,Jan 30-Feb 1,10,Avatar: Fire and Ash,Walt Disney Pictures,"$201,557"
Slovakia,Jan 29-Feb 1,20,Zootopia 2,Universal Pictures International (UPI),"$166,716"
Thailand,Jan 29-Feb 1,8,Send Help,Walt Disney Pictures,"$157,103"
Lithuania,Jan 30-Feb 1,30,The Housemaid,ACME,"$145,072"
Romania,Jan 30-Feb 1,47,Avatar: Fire and Ash,Forum Hungary,"$119,310"
New Zealand,Jan 29-Feb 1,75,Iron Lung,Markiplier,"$116,736"
Finland,Jan 30-Feb 1,15,Hamnet,Universal Pictures International (UPI),"$94,889"
India,Jan 30-Feb 1,9,Send Help,Walt Disney Pictures,"$89,926"
Malaysia,Jan 29-Feb 1,7,Send Help,Walt Disney Pictures,"$81,756"
Singapore,Jan 29-Feb 1,12,Avatar: Fire and Ash,Walt Disney Pictures,"$78,140"
South Africa/Nigeria,Jan 30-Feb 1,22,Avatar: Fire and Ash,Filmfinity,"$73,937"
Middle East Other,Jan 29-Feb 1,2,Hamnet,Universal Pictures International (UPI),"$48,195"
Slovenia,Jan 29-Feb 1,23,Tom and Jerry: Forbidden Compass,Independenta Film,"$41,727"
Bulgaria,Jan 30-Feb 1,55,Shelter,Alexandra Films,"$36,452"
Israel,Jan 29-Feb 1,8,Hamnet,Universal Pictures International (UPI),"$35,277"
Iceland,Jan 30-Feb 1,23,Marty Supreme,Universal Pictures International (UPI),"$18,443"
Ecuador,Jan 30-Feb 1,1,Hamnet,Universal Pictures International (UPI),"$18,412"
South Africa,Jan 30-Feb 1,6,Hamnet,Universal Pictures International (UPI),"$17,662"
Uruguay,Jan 29-Feb 1,2,Hamnet,Universal Pictures International (UPI),"$13,102"
Lebanon,Jan 29-Feb 1,1,Hamnet,Universal Pictures International (UPI),"$9,379"
Cyprus,Jan 30-Feb 1,1,Hamnet,Universal Pictures International (UPI),"$6,401"
Latvia,Jan 30-Feb 1,3,Hamnet,Universal Pictures International (UPI),"$5,900"
Estonia,Jan 30-Feb 1,2,Hamnet,Universal Pictures International (UPI),"$5,634"
Bolivia,Jan 29-Feb 1,1,Hamnet,Universal Pictures International (UPI),"$3,379"
Serbia and Montenegro,Jan 29-Feb 1,3,Five Nights at Freddy's 2,Universal Pictures International (UPI),"$3,053"
Ukraine,Jan 29-Feb 1,4,Eternity,A24,$615
Central America,Jan 29-Feb 1,2,Song Sung Blue,Universal Pictures International (UPI),$289
North Macedonia,Jan 30-Feb 1,1,Five Nights at Freddy's 2,Universal Pictures International (UPI),$207
Albania,Jan 31-Feb 1,1,Five Nights at Freddy's 2,Universal Pictures International (UPI),$133
Bosnia and Herzegovina,Jan 29-Feb 1,2,-,-,-
France,Jan 28-Feb 1,36,Guru,StudioCanal,"$5,143,504"
Switzerland,Jan 28-Feb 1,14,Avatar: Fire and Ash,Walt Disney Pictures,"$459,405"
Belgium,Jan 28-Feb 1,13,Avatar: Fire and Ash,Walt Disney Pictures,"$401,212"
Philippines,Jan 28-Feb 1,10,Avatar: Fire and Ash,Walt Disney Pictures,"$166,688"
Indonesia,Jan 28-Feb 1,7,Send Help,Walt Disney Pictures,"$84,570"
Egypt,Jan 28-Feb 1,1,Hamnet,Universal Pictures International (UPI),"$19,635"
Trinidad & Tobago,Jan 28-Feb 1,2,Hamnet,Universal Pictures International (UPI),$521
Pakistan,Jan 28-Feb 1,1,Wicked: For Good,Universal Pictures International (UPI),$33
"Weekend Ending January 25, 2026"
Peru,Jan 22-25,6,Five Nights at Freddy's 2,Universal Pictures International (UPI),"$2,472"
Paraguay,Jan 23-25,3,Five Nights at Freddy's 2,Universal Pictures International (UPI),$95
"Weekend Ending January 18, 2026"
Sri Lanka,Jan 16-18,1,David,Angel,"$1,576"
Panama,Jan 15-18,2,Eternity,A24,$667
Guatemala,Jan 15-18,2,Eternity,A24,$563
Mongolia,Jan 16-18,1,Five Nights at Freddy's 2,Universal Pictures International (UPI),$474
